Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
I3EN 6xlarge,i3en.6xlarge,i3en,"355,625.803",Storage optimized,125.0 fps,192 GiB,2933 MT/s,No,,,,,,,,0 units,24 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,15000 GB (2×7500 GB NVMe SSD),Yes,Yes,x86_64,25 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.712 hourly,$1.847 hourly,$0.9238 hourly,$0.9689 hourly,$3.307 hourly,$2.442 hourly,$1.1828 hourly,$1.3285 hourly,$2.837 hourly,$1.907 hourly,$1.0488 hourly,$1.1945 hourly,$3.816 hourly,$2.951 hourly,$1.5989 hourly,$1.6067 hourly,$11.933 hourly,$8.127 hourly,$4.222 hourly,$3.357 hourly,$6.696 hourly,$5.831 hourly,$12.816 hourly,$11.951 hourly,$3.118 hourly,$2.253 hourly,$5.592 hourly,$4.727 hourly,$11.712 hourly,$10.847 hourly,<5%,$0.27 hourly,current,,,No,4.15x,,,,,,
M5 General Purpose 12xlarge Extra Large,m5d.12xlarge,m5d,"686,237.133",General purpose,157.0 fps,192 GiB,2666 MT/s,No,,,,,,,,168 units,48 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,3.5000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,1800 GB (2×900 GB NVMe SSD),Yes,Yes,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.712 hourly,$1.709 hourly,$0.9459 hourly,$1.04 hourly,$3.902 hourly,$2.899 hourly,$1.4639 hourly,$1.685 hourly,$2.812 hourly,$1.742 hourly,$1.0459 hourly,$1.267 hourly,$4.92 hourly,$3.917 hourly,$2.703 hourly,$2.7039 hourly,$5.966 hourly,$3.759 hourly,$5.731 hourly,$4.728 hourly,$10.68 hourly,$9.677 hourly,$22.92 hourly,$21.917 hourly,$3.523 hourly,$2.52 hourly,$8.472 hourly,$7.469 hourly,$20.712 hourly,$19.709 hourly,>20%,$0.27 hourly,current,,,No,5.23x,,,,,,
R5A 12xlarge Extra Large,r5a.12xlarge,r5a,"635,004.63",Memory optimized,107.0 fps,384 GiB,2667 MT/s,Yes,3,16,8,16,127939 MB,16.0 MB,Yes,0 units,48 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,,,,,EBS only,,,x86_64,10 Gigabit,6780 Mbps,847.5 MB/s,30000 IOPS,6780 Mbps,847.5 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.712 hourly,$1.709 hourly,$0.9792 hourly,$1.0822 hourly,$3.902 hourly,$2.899 hourly,$1.4972 hourly,$1.8277 hourly,$2.837 hourly,$1.769 hourly,$1.1042 hourly,$1.4347 hourly,$4.92 hourly,$3.917 hourly,$2.7052 hourly,$2.7052 hourly,$6.653 hourly,$4.191 hourly,$5.731 hourly,$4.728 hourly,$10.68 hourly,$9.677 hourly,$22.92 hourly,$21.917 hourly,$3.523 hourly,$2.52 hourly,$8.472 hourly,$7.469 hourly,$20.712 hourly,$19.709 hourly,>20%,$0.27 hourly,current,,,No,3.56x,,,,,,
R5DN Eight Extra Large,r5dn.8xlarge,r5dn,,Memory optimized,,256 GiB,,,,,,,,,,0 units,32 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,,,,,1200 GB (2×600 GB NVMe SSD),Yes,Yes,x86_64,25 Gigabit,6800 Mbps,850 MB/s,30000 IOPS,6800 Mbps,850 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.672 hourly,$1.683 hourly,$1.2683 hourly,$1.3167 hourly,$3.4656 hourly,$2.029 hourly,$1.6139 hourly,$1.7226 hourly,,,,,$4.144 hourly,$3.155 hourly,$1.8678 hourly,$1.9369 hourly,$6.653 hourly,$4.191 hourly,$4.685 hourly,$3.696 hourly,$7.984 hourly,$6.995 hourly,$16.144 hourly,$15.155 hourly,$3.213 hourly,$2.224 hourly,$6.512 hourly,$5.523 hourly,$14.672 hourly,$13.683 hourly,15-20%,$0.27 hourly,current,,,,,,,,,,
X2GD Eight Extra Large,x2gd.8xlarge,x2gd,"646,725.95",Memory optimized,149.0 fps,512 GiB,,No,,,,,,,,0 units,32 vCPUs,16.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,1900 GB NVMe SSD,Yes,Yes,arm64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.672 hourly,$1.6466 hourly,$0.9405 hourly,$1.0148 hourly,$3.0176 hourly,$1.9922 hourly,$1.2861 hourly,$1.478 hourly,$2.797 hourly,$1.7066 hourly,$1.0655 hourly,$1.2574 hourly,,,,,$5.878 hourly,$3.623 hourly,,,,,,,,,,,,,<5%,$0.668 hourly,current,,,No,4.97x,,,,,,
R3 High-Memory Eight Extra Large,r3.8xlarge,r3,"480,408.347",Memory optimized,141.0 fps,244 GiB,,Yes,2,20,8,16,122971 MB,25.0 MB,Yes,104 units,32 vCPUs,7.63 GiB/vCPU,0,,0 GiB,0,0,3.2500 units,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,,,Yes,640 GB (2×320 GB SSD),Yes,Yes,x86_64,10 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,240,8,No,No,Yes,Yes,Unknown,Yes,,$2.66 hourly,$1.672 hourly,$0.9138 hourly,$1.0706 hourly,$3.45 hourly,$1.853 hourly,$1.2558 hourly,$1.5251 hourly,$2.76 hourly,$1.705 hourly,$1.0138 hourly,$1.2831 hourly,$3.50 hourly,$1.989 hourly,$1.3277 hourly,$1.3371 hourly,$2.926 hourly,,$3.855 hourly,$2.717 hourly,$8.615 hourly,$7.594 hourly,$16.132 hourly,$15.158 hourly,$3.197 hourly,$2.048 hourly,$6.496 hourly,$5.347 hourly,$14.656 hourly,$13.507 hourly,10-15%,$0.27 hourly,previous,,,No,4.70x,,,,,,
M7G 16xlarge Extra Large,m7g.16xlarge,m7g,"1,580,051.845",General purpose,242.0 fps,256 GiB,,No,,,,,,,,0 units,64 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.6112 hourly,$1.7273 hourly,$0.7949 hourly,$0.9163 hourly,$4.1984 hourly,$2.4185 hourly,$1.4861 hourly,$1.7976 hourly,$2.7362 hourly,$1.7872 hourly,$0.9199 hourly,$1.2314 hourly,,,,,$8.617 hourly,$5.70 hourly,,,,,,,,,,,,,<5%,$0.6528 hourly,current,,,No,8.07x,,,,,,
M7G Metal,m7g.metal,m7g,"1,729,262.362",General purpose,245.0 fps,256 GiB,,No,,,,,,,,0 units,64 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$2.6112 hourly,$1.7273 hourly,$0.5013 hourly,$0.6163 hourly,$4.1984 hourly,$2.4185 hourly,$1.1925 hourly,$1.4356 hourly,$2.7362 hourly,$1.7872 hourly,$0.6263 hourly,$0.8694 hourly,,,,,$8.617 hourly,$5.70 hourly,,,,,,,,,,,,,<5%,,current,,,No,8.15x,,,,,,
G2 Eight Extra Large,g2.8xlarge,g2,,GPU instance,,60 GiB,,,,,,,,,,104 units,32 vCPUs,1.88 GiB/vCPU,4,NVIDIA GRID K520,16 GiB,3,0,3.2500 units,Intel Xeon E5-2670 (Sandy Bridge),2.6 GHz,Yes,,,Yes,EBS only,,,x86_64,High,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,No,No,No,Yes,Unknown,No,,$2.60 hourly,,,,$2.946 hourly,,,,$2.70 hourly,,,,$2.878 hourly,,,,$2.86 hourly,,,,,,$16.072 hourly,,,,,,$14.60 hourly,,,,previous,,,,,,,,,,
C8A 12xlarge Extra Large,c8a.12xlarge,c8a,"2,043,132.804",Compute optimized,388.0 fps,96 GiB,6400 MT/s,No,,,,,,,,0 units,48 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R45 Processor,Up to 4.5 GHz,,,,,EBS only,,,x86_64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,768,12,Yes,Yes,Yes,Yes,Unknown,No,,$2.5865 hourly,,$0.7363 hourly,$1.037 hourly,$3.7769 hourly,,$1.2547 hourly,$1.8924 hourly,$2.7115 hourly,,$0.8613 hourly,$1.499 hourly,$4.7945 hourly,,$2.9445 hourly,$2.958 hourly,$11.381 hourly,,$5.6057 hourly,,$10.5545 hourly,,$22.7945 hourly,,$3.3977 hourly,,$8.3465 hourly,,$20.5865 hourly,,>20%,,current,,,No,12.90x,,,,,,
R7G 12xlarge Extra Large,r7g.12xlarge,r7g,"1,184,600.197",Memory optimized,239.0 fps,384 GiB,,No,,,,,,,,0 units,48 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.5704 hourly,$1.7003 hourly,$0.6783 hourly,$0.8103 hourly,$3.7608 hourly,$2.2187 hourly,$1.1967 hourly,$1.4717 hourly,$2.6954 hourly,$1.7602 hourly,$0.8033 hourly,$1.0783 hourly,,,,,$11.31 hourly,$7.481 hourly,,,,,,,,,,,,,<5%,$0.6426 hourly,current,,,No,7.96x,,,,,,
M7GD 12xlarge Extra Large,m7gd.12xlarge,m7gd,"1,247,077.163",General purpose,239.0 fps,192 GiB,,No,,,,,,,,0 units,48 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,2850 GB (2×1425 GB NVMe SSD),Yes,Yes,arm64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.5628 hourly,$1.6146 hourly,$0.8722 hourly,$0.926 hourly,$3.7532 hourly,$2.805 hourly,$1.3906 hourly,$1.468 hourly,$2.6878 hourly,$1.6745 hourly,$0.9972 hourly,$1.0746 hourly,,,,,$8.617 hourly,$7.104 hourly,,,,,,,,,,,,,<5%,$0.6407 hourly,current,,,No,7.94x,,,,,,
R8A Eight Extra Large,r8a.8xlarge,r8a,"1,530,501.326",Memory optimized,369.0 fps,256 GiB,6400 MT/s,No,,,,,,,,0 units,32 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R45 Processor,Up to 4.5 GHz,,,,,EBS only,,,x86_64,15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,400,10,Yes,Yes,Yes,Yes,Unknown,No,,$2.5562 hourly,,$0.9254 hourly,$1.1129 hourly,$3.3498 hourly,,$1.271 hourly,$1.569 hourly,$2.6812 hourly,,$1.0504 hourly,$1.3484 hourly,$4.0282 hourly,,$1.9411 hourly,$1.9418 hourly,$16.871 hourly,,$4.569 hourly,,$7.8682 hourly,,$16.0282 hourly,,$3.097 hourly,,$6.3962 hourly,,$14.5562 hourly,,<5%,,current,,,No,12.30x,,,,,,
C8G 16xlarge Extra Large,c8g.16xlarge,c8g,"1,995,323.461",Compute optimized,296.0 fps,128 GiB,,No,,,,,,,,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,,,,,EBS only,,,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$2.5523 hourly,$1.6819 hourly,$0.8782 hourly,$0.9285 hourly,$4.1395 hourly,$2.3731 hourly,$1.5694 hourly,$1.7168 hourly,$2.6773 hourly,$1.7418 hourly,$1.0032 hourly,$1.1506 hourly,,,,,$8.423 hourly,$5.55 hourly,,,,,,,,,,,,,<5%,,current,,,No,9.86x,,,,,,
M6IDN Eight Extra Large,m6idn.8xlarge,m6idn,"560,199.571",General purpose,148.0 fps,128 GiB,3200 MT/s,No,,,,,,,,0 units,32 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,1900 GB NVMe SSD,Yes,Yes,x86_64,50 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,25000 Mbps,3125 MB/s,100000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.5459 hourly,$1.6039 hourly,$1.2586 hourly,$1.3286 hourly,$3.3395 hourly,$2.3975 hourly,$1.6042 hourly,$1.8069 hourly,$2.6709 hourly,$1.6638 hourly,$1.3836 hourly,$1.5863 hourly,$4.0179 hourly,$1.6039 hourly,$1.9356 hourly,$1.9387 hourly,$6.758 hourly,$5.262 hourly,$4.5587 hourly,$3.6167 hourly,$7.8579 hourly,$6.9159 hourly,$16.0179 hourly,$15.0759 hourly,$3.0867 hourly,$2.1447 hourly,$6.3859 hourly,$5.4439 hourly,$14.5459 hourly,$13.6039 hourly,>20%,$0.6365 hourly,current,,,No,4.91x,,,,,,
M8I 12xlarge Extra Large,m8i.12xlarge,m8i,"1,109,527.295",General purpose,281.0 fps,192 GiB,7200 MT/s,No,,,,,,,,0 units,48 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Granite Rapids),3.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,600,12,Yes,Yes,Yes,Yes,Unknown,No,,$2.5402 hourly,,$0.9084 hourly,$0.9716 hourly,$3.7306 hourly,,$1.4268 hourly,$1.5807 hourly,$2.6652 hourly,,$1.0334 hourly,$1.1873 hourly,$4.7482 hourly,,$2.462 hourly,$2.462 hourly,$22.353 hourly,,$5.5594 hourly,,$10.5082 hourly,,$22.7482 hourly,,$3.3514 hourly,,$8.3002 hourly,,$20.5402 hourly,,15-20%,,current,,,No,9.37x,,,,,,
I3 High I/O Eight Extra Large,i3.8xlarge,i3,"425,305.688",Storage optimized,113.0 fps,244 GiB,,No,,,,,,,,97 units,32 vCPUs,7.63 GiB/vCPU,0,,0 GiB,0,0,3.0313 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,,Yes,7600 GB (4×1900 GB NVMe SSD),Yes,Yes,x86_64,10 Gigabit,7000 Mbps,875 MB/s,32500 IOPS,7000 Mbps,875 MB/s,32500 IOPS,No,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.496 hourly,$1.714 hourly,$0.8892 hourly,$0.952 hourly,$3.29 hourly,$2.059 hourly,$1.2352 hourly,$1.3685 hourly,$2.596 hourly,$1.747 hourly,$0.9892 hourly,$1.1225 hourly,$3.968 hourly,$3.186 hourly,$1.7216 hourly,$1.7216 hourly,$5.491 hourly,,$4.532 hourly,$3.75 hourly,$7.808 hourly,$7.026 hourly,$15.968 hourly,$15.186 hourly,$3.037 hourly,$2.254 hourly,$6.336 hourly,$5.554 hourly,$14.496 hourly,$13.714 hourly,>20%,$0.27 hourly,current,,,No,3.76x,,,,,,
M5AD 12xlarge Extra Large,m5ad.12xlarge,m5ad,"620,101.628",General purpose,113.0 fps,192 GiB,2667 MT/s,Yes,3,16,8,16,63427 MB,16.0 MB,Yes,0 units,48 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,,,,,1800 GB (2×900 GB NVMe SSD),Yes,Yes,x86_64,10 Gigabit,6780 Mbps,847.5 MB/s,30000 IOPS,6780 Mbps,847.5 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.472 hourly,$1.557 hourly,$0.9006 hourly,$1.0779 hourly,$3.662 hourly,$2.748 hourly,$1.4186 hourly,$1.7074 hourly,$2.597 hourly,$1.617 hourly,$1.0256 hourly,$1.3144 hourly,$4.68 hourly,$3.765 hourly,$2.66 hourly,$2.6617 hourly,$5.069 hourly,$3.193 hourly,$5.491 hourly,$4.577 hourly,$10.44 hourly,$9.525 hourly,$22.68 hourly,$21.765 hourly,$3.283 hourly,$2.369 hourly,$8.232 hourly,$7.317 hourly,$20.472 hourly,$19.557 hourly,5-10%,$0.27 hourly,current,,,No,3.77x,,,,,,
I4G Eight Extra Large,i4g.8xlarge,i4g,"642,699.337",Storage optimized,150.0 fps,256 GiB,,No,,,,,,,,0 units,32 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,7500 GB (2×3750 GB NVMe SSD),Yes,Yes,arm64,18.75 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.471 hourly,$1.6036 hourly,$0.9023 hourly,$1.0126 hourly,$3.2646 hourly,$1.9492 hourly,$1.2479 hourly,$1.4307 hourly,$2.596 hourly,$1.6635 hourly,$1.0273 hourly,$1.2101 hourly,,,,,$5.436 hourly,$3.528 hourly,,,,,,,,,,,,,<5%,$0.6178 hourly,current,,,No,5.01x,,,,,,
C5A 16xlarge Extra Large,c5a.16xlarge,c5a,"1,197,828.935",Compute optimized,184.0 fps,128 GiB,2933 MT/s,No,,,,,,,,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,,,,,EBS only,,,x86_64,20 Gigabit,6300 Mbps,787.5 MB/s,26700 IOPS,6300 Mbps,787.5 MB/s,26700 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.464 hourly,$1.552 hourly,$0.9921 hourly,$1.0737 hourly,$4.051 hourly,$3.14 hourly,$1.6831 hourly,$1.8658 hourly,$2.589 hourly,$1.612 hourly,$1.1171 hourly,$1.2998 hourly,$5.408 hourly,$4.496 hourly,$3.3959 hourly,$3.3965 hourly,$3.366 hourly,$2.121 hourly,$6.49 hourly,$5.578 hourly,$13.088 hourly,$12.176 hourly,$29.408 hourly,$28.496 hourly,$3.546 hourly,$2.634 hourly,$10.144 hourly,$9.232 hourly,$26.464 hourly,$25.552 hourly,15-20%,$0.27 hourly,current,,,No,6.14x,,,,,,
M6G 16xlarge Extra Large,m6g.16xlarge,m6g,"1,277,445.11",General purpose,176.0 fps,256 GiB,,No,,,,,,,,0 units,64 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,,,,,,EBS only,,,arm64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.464 hourly,$1.5456 hourly,$0.6839 hourly,$0.8507 hourly,$4.0512 hourly,$2.2368 hourly,$1.3751 hourly,$1.6822 hourly,$2.589 hourly,$1.6056 hourly,$0.8089 hourly,$1.116 hourly,,,,,$2.71 hourly,$1.70 hourly,,,,,,,,,,,,,>20%,$0.616 hourly,current,,,No,5.85x,,,,,,
M6G Metal,m6g.metal,m6g,"1,280,256.051",General purpose,178.0 fps,256 GiB,,No,,,,,,,,0 units,64 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,,,,,,EBS only,,,arm64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$2.464 hourly,$1.5456 hourly,$0.6938 hourly,$0.8578 hourly,$4.0512 hourly,$2.2368 hourly,$1.385 hourly,$1.7264 hourly,$2.589 hourly,$1.6056 hourly,$0.8188 hourly,$1.1602 hourly,,,,,$2.71 hourly,$1.70 hourly,,,,,,,,,,,,,>20%,,current,,,No,5.94x,,,,,,
C7A 12xlarge Extra Large,c7a.12xlarge,c7a,"1,416,207.71",Compute optimized,298.0 fps,96 GiB,4800 MT/s,No,,,,,,,,0 units,48 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,,,,,EBS only,,,x86_64,18.75 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.4634 hourly,$1.6295 hourly,$0.9288 hourly,$1.0574 hourly,$3.6538 hourly,$2.8199 hourly,$1.4472 hourly,$1.861 hourly,$2.5884 hourly,$1.6894 hourly,$1.0538 hourly,$1.4676 hourly,$4.6714 hourly,$3.8375 hourly,$2.6598 hourly,$2.66 hourly,$10.839 hourly,$7.17 hourly,$5.4826 hourly,$4.6487 hourly,$10.4314 hourly,$9.5975 hourly,$22.6714 hourly,$21.8375 hourly,$3.2746 hourly,$2.4407 hourly,$8.2234 hourly,$7.3895 hourly,$20.4634 hourly,$19.6295 hourly,10-15%,$0.6158 hourly,current,,,No,9.93x,,,,,,
C6GD 16xlarge Extra Large,c6gd.16xlarge,c6gd,"1,243,764.98",Compute optimized,176.0 fps,128 GiB,,No,,,,,,,,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,3800 GB (2×1900 GB NVMe SSD),Yes,Yes,arm64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.4576 hourly,$1.5483 hourly,$0.5321 hourly,$0.6048 hourly,$4.0448 hourly,$2.2395 hourly,$1.2233 hourly,$1.4112 hourly,$2.5826 hourly,$1.6083 hourly,$0.6571 hourly,$0.845 hourly,,,,,$2.394 hourly,$1.508 hourly,,,,,,,,,,,,,>20%,$0.6144 hourly,current,,,No,5.86x,,,,,,
C6GD Metal,c6gd.metal,c6gd,"1,247,239.184",Compute optimized,178.0 fps,128 GiB,,No,,,,,,,,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,3800 GB (2×1900 GB NVMe SSD),Yes,Yes,arm64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$2.4576 hourly,$1.5483 hourly,$0.5243 hourly,$0.5877 hourly,$4.0448 hourly,$3.1355 hourly,$1.2155 hourly,$1.3856 hourly,$2.5826 hourly,$1.6083 hourly,$0.6493 hourly,$0.8194 hourly,,,,,$2.394 hourly,$1.508 hourly,,,,,,,,,,,,,10-15%,,current,,,No,5.94x,,,,,,
C6A 16xlarge Extra Large,c6a.16xlarge,c6a,"1,332,500.521",Compute optimized,226.0 fps,128 GiB,2933 MT/s,Yes,2,12,16,32,63065 MB,64.0 MB,Yes,0 units,64 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,,,,,EBS only,,,x86_64,25 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$2.448 hourly,$1.6194 hourly,$0.9568 hourly,$1.00 hourly,$4.0352 hourly,$3.2066 hourly,$1.648 hourly,$1.7165 hourly,$2.573 hourly,$1.6794 hourly,$1.0818 hourly,$1.1503 hourly,$5.392 hourly,$1.6194 hourly,$3.3928 hourly,$3.393 hourly,$8.078 hourly,$5.344 hourly,$6.4736 hourly,$5.645 hourly,$13.072 hourly,$12.2434 hourly,$29.392 hourly,$28.5634 hourly,$3.5296 hourly,$2.701 hourly,$10.128 hourly,$9.2994 hourly,$26.448 hourly,$25.6194 hourly,10-15%,$0.612 hourly,current,,,No,7.52x,,,,,,
